r,tech,bin,year,var,value
p62,evmc_storage_7,bin5,2025,Cap,10
p62,evmc_storage_7,bin5,2030,Cap,10
p62,evmc_storage_7,bin5,2035,Cap,10
p62,evmc_storage_7,bin5,2040,Cap,10
p62,evmc_storage_8,bin1,2010,Cost,10
p62,evmc_storage_8,bin1,2020,Cost,10
p62,evmc_storage_8,bin1,2025,Cost,10
p62,evmc_storage_8,bin1,2030,Cost,10
p62,evmc_storage_8,bin1,2035,Cost,10
p62,evmc_storage_8,bin1,2040,Cost,10
p62,evmc_storage_8,bin2,2010,Cost,10
p62,evmc_storage_8,bin2,2020,Cost,10
p62,evmc_storage_8,bin2,2025,Cost,10
p62,evmc_storage_8,bin2,2030,Cost,10
p62,evmc_storage_8,bin2,2035,Cost,10
p62,evmc_storage_8,bin2,2040,Cost,10
p62,evmc_storage_8,bin3,2010,Cost,10
p62,evmc_storage_8,bin3,2020,Cost,10
p62,evmc_storage_8,bin3,2025,Cost,10
p62,evmc_storage_8,bin3,2030,Cost,10
p62,evmc_storage_8,bin3,2035,Cost,10
p62,evmc_storage_8,bin3,2040,Cost,10
p62,evmc_storage_8,bin4,2010,Cost,10
p62,evmc_storage_8,bin4,2020,Cost,10
p62,evmc_storage_8,bin4,2025,Cost,10
p62,evmc_storage_8,bin4,2030,Cost,10
p62,evmc_storage_8,bin4,2035,Cost,10
p62,evmc_storage_8,bin4,2040,Cost,10
p62,evmc_storage_8,bin5,2010,Cost,10
p62,evmc_storage_8,bin5,2020,Cost,10
p62,evmc_storage_8,bin5,2025,Cost,10
p62,evmc_storage_8,bin5,2030,Cost,10
p62,evmc_storage_8,bin5,2035,Cost,10
p62,evmc_storage_8,bin5,2040,Cost,10
p62,evmc_storage_8,bin1,2010,Cap,10
p62,evmc_storage_8,bin1,2020,Cap,10
p62,evmc_storage_8,bin1,2025,Cap,10
p62,evmc_storage_8,bin1,2030,Cap,10
p62,evmc_storage_8,bin1,2035,Cap,10
p62,evmc_storage_8,bin1,2040,Cap,10
p62,evmc_storage_8,bin2,2010,Cap,10
p62,evmc_storage_8,bin2,2020,Cap,10
p62,evmc_storage_8,bin2,2025,Cap,10
p62,evmc_storage_8,bin2,2030,Cap,10
p62,evmc_storage_8,bin2,2035,Cap,10
p62,evmc_storage_8,bin2,2040,Cap,10
p62,evmc_storage_8,bin3,2010,Cap,10
p62,evmc_storage_8,bin3,2020,Cap,10
p62,evmc_storage_8,bin3,2025,Cap,10
p62,evmc_storage_8,bin3,2030,Cap,10
p62,evmc_storage_8,bin3,2035,Cap,10
p62,evmc_storage_8,bin3,2040,Cap,10
p62,evmc_storage_8,bin4,2010,Cap,10
p62,evmc_storage_8,bin4,2020,Cap,10
p62,evmc_storage_8,bin4,2025,Cap,10
p62,evmc_storage_8,bin4,2030,Cap,10
p62,evmc_storage_8,bin4,2035,Cap,10
p62,evmc_storage_8,bin4,2040,Cap,10
p62,evmc_storage_8,bin5,2010,Cap,10
p62,evmc_storage_8,bin5,2020,Cap,10
p62,evmc_storage_8,bin5,2025,Cap,10
p62,evmc_storage_8,bin5,2030,Cap,10
p62,evmc_storage_8,bin5,2035,Cap,10
p62,evmc_storage_8,bin5,2040,Cap,10
p62,evmc_storage_9,bin1,2010,Cost,10
p62,evmc_storage_9,bin1,2020,Cost,10
p62,evmc_storage_9,bin1,2025,Cost,10
p62,evmc_storage_9,bin1,2030,Cost,10
p62,evmc_storage_9,bin1,2035,Cost,10
p62,evmc_storage_9,bin1,2040,Cost,10
p62,evmc_storage_9,bin2,2010,Cost,10
p62,evmc_storage_9,bin2,2020,Cost,10
p62,evmc_storage_9,bin2,2025,Cost,10
p62,evmc_storage_9,bin2,2030,Cost,10
p62,evmc_storage_9,bin2,2035,Cost,10
p62,evmc_storage_9,bin2,2040,Cost,10
p62,evmc_storage_9,bin3,2010,Cost,10
p62,evmc_storage_9,bin3,2020,Cost,10
p62,evmc_storage_9,bin3,2025,Cost,10
p62,evmc_storage_9,bin3,2030,Cost,10
p62,evmc_storage_9,bin3,2035,Cost,10
p62,evmc_storage_9,bin3,2040,Cost,10
p62,evmc_storage_9,bin4,2010,Cost,10
p62,evmc_storage_9,bin4,2020,Cost,10
p62,evmc_storage_9,bin4,2025,Cost,10
p62,evmc_storage_9,bin4,2030,Cost,10
p62,evmc_storage_9,bin4,2035,Cost,10
p62,evmc_storage_9,bin4,2040,Cost,10
p62,evmc_storage_9,bin5,2010,Cost,10
p62,evmc_storage_9,bin5,2020,Cost,10
p62,evmc_storage_9,bin5,2025,Cost,10
p62,evmc_storage_9,bin5,2030,Cost,10
p62,evmc_storage_9,bin5,2035,Cost,10
p62,evmc_storage_9,bin5,2040,Cost,10
p62,evmc_storage_9,bin1,2010,Cap,10
p62,evmc_storage_9,bin1,2020,Cap,10
p62,evmc_storage_9,bin1,2025,Cap,10
p62,evmc_storage_9,bin1,2030,Cap,10
p62,evmc_storage_9,bin1,2035,Cap,10
p62,evmc_storage_9,bin1,2040,Cap,10
p62,evmc_storage_9,bin2,2010,Cap,10
p62,evmc_storage_9,bin2,2020,Cap,10
p62,evmc_storage_9,bin2,2025,Cap,10
p62,evmc_storage_9,bin2,2030,Cap,10
p62,evmc_storage_9,bin2,2035,Cap,10
p62,evmc_storage_9,bin2,2040,Cap,10
p62,evmc_storage_9,bin3,2010,Cap,10
p62,evmc_storage_9,bin3,2020,Cap,10
p62,evmc_storage_9,bin3,2025,Cap,10
p62,evmc_storage_9,bin3,2030,Cap,10
p62,evmc_storage_9,bin3,2035,Cap,10
p62,evmc_storage_9,bin3,2040,Cap,10
p62,evmc_storage_9,bin4,2010,Cap,10
p62,evmc_storage_9,bin4,2020,Cap,10
p62,evmc_storage_9,bin4,2025,Cap,10
p62,evmc_storage_9,bin4,2030,Cap,10
p62,evmc_storage_9,bin4,2035,Cap,10
p62,evmc_storage_9,bin4,2040,Cap,10
p62,evmc_storage_9,bin5,2010,Cap,10
p62,evmc_storage_9,bin5,2020,Cap,10
p62,evmc_storage_9,bin5,2025,Cap,10
p62,evmc_storage_9,bin5,2030,Cap,10
p62,evmc_storage_9,bin5,2035,Cap,10
p62,evmc_storage_9,bin5,2040,Cap,10
p63,evmc_storage_1,bin1,2010,Cost,10
p63,evmc_storage_1,bin1,2020,Cost,10
p63,evmc_storage_1,bin1,2025,Cost,10
p63,evmc_storage_1,bin1,2030,Cost,10
p63,evmc_storage_1,bin1,2035,Cost,10
p63,evmc_storage_1,bin1,2040,Cost,10
p63,evmc_storage_1,bin2,2010,Cost,10
p63,evmc_storage_1,bin2,2020,Cost,10
p63,evmc_storage_1,bin2,2025,Cost,10
p63,evmc_storage_1,bin2,2030,Cost,10
p63,evmc_storage_1,bin2,2035,Cost,10
p63,evmc_storage_1,bin2,2040,Cost,10
p63,evmc_storage_1,bin3,2010,Cost,10
p63,evmc_storage_1,bin3,2020,Cost,10
p63,evmc_storage_1,bin3,2025,Cost,10
p63,evmc_storage_1,bin3,2030,Cost,10
p63,evmc_storage_1,bin3,2035,Cost,10
p63,evmc_storage_1,bin3,2040,Cost,10
p63,evmc_storage_1,bin4,2010,Cost,10
p63,evmc_storage_1,bin4,2020,Cost,10
p63,evmc_storage_1,bin4,2025,Cost,10
p63,evmc_storage_1,bin4,2030,Cost,10
p63,evmc_storage_1,bin4,2035,Cost,10
p63,evmc_storage_1,bin4,2040,Cost,10
p63,evmc_storage_1,bin5,2010,Cost,10
p63,evmc_storage_1,bin5,2020,Cost,10
p63,evmc_storage_1,bin5,2025,Cost,10
p63,evmc_storage_1,bin5,2030,Cost,10
p63,evmc_storage_1,bin5,2035,Cost,10
p63,evmc_storage_1,bin5,2040,Cost,10
p63,evmc_storage_1,bin1,2010,Cap,10
p63,evmc_storage_1,bin1,2020,Cap,10
p63,evmc_storage_1,bin1,2025,Cap,10
p63,evmc_storage_1,bin1,2030,Cap,10
p63,evmc_storage_1,bin1,2035,Cap,10
p63,evmc_storage_1,bin1,2040,Cap,10
p63,evmc_storage_1,bin2,2010,Cap,10
p63,evmc_storage_1,bin2,2020,Cap,10
p63,evmc_storage_1,bin2,2025,Cap,10
p63,evmc_storage_1,bin2,2030,Cap,10
p63,evmc_storage_1,bin2,2035,Cap,10
p63,evmc_storage_1,bin2,2040,Cap,10
p63,evmc_storage_1,bin3,2010,Cap,10
p63,evmc_storage_1,bin3,2020,Cap,10
p63,evmc_storage_1,bin3,2025,Cap,10
p63,evmc_storage_1,bin3,2030,Cap,10
p63,evmc_storage_1,bin3,2035,Cap,10
p63,evmc_storage_1,bin3,2040,Cap,10
p63,evmc_storage_1,bin4,2010,Cap,10
p63,evmc_storage_1,bin4,2020,Cap,10
p63,evmc_storage_1,bin4,2025,Cap,10
p63,evmc_storage_1,bin4,2030,Cap,10
p63,evmc_storage_1,bin4,2035,Cap,10
p63,evmc_storage_1,bin4,2040,Cap,10
p63,evmc_storage_1,bin5,2010,Cap,10
p63,evmc_storage_1,bin5,2020,Cap,10
p63,evmc_storage_1,bin5,2025,Cap,10
p63,evmc_storage_1,bin5,2030,Cap,10
p63,evmc_storage_1,bin5,2035,Cap,10
p63,evmc_storage_1,bin5,2040,Cap,10
p63,evmc_storage_10,bin1,2010,Cost,10
p63,evmc_storage_10,bin1,2020,Cost,10
p63,evmc_storage_10,bin1,2025,Cost,10
p63,evmc_storage_10,bin1,2030,Cost,10
p63,evmc_storage_10,bin1,2035,Cost,10
p63,evmc_storage_10,bin1,2040,Cost,10
p63,evmc_storage_10,bin2,2010,Cost,10
p63,evmc_storage_10,bin2,2020,Cost,10
p63,evmc_storage_10,bin2,2025,Cost,10
p63,evmc_storage_10,bin2,2030,Cost,10
p63,evmc_storage_10,bin2,2035,Cost,10
p63,evmc_storage_10,bin2,2040,Cost,10
p63,evmc_storage_10,bin3,2010,Cost,10
p63,evmc_storage_10,bin3,2020,Cost,10
p63,evmc_storage_10,bin3,2025,Cost,10
p63,evmc_storage_10,bin3,2030,Cost,10
p63,evmc_storage_10,bin3,2035,Cost,10
p63,evmc_storage_10,bin3,2040,Cost,10
p63,evmc_storage_10,bin4,2010,Cost,10
p63,evmc_storage_10,bin4,2020,Cost,10
p63,evmc_storage_10,bin4,2025,Cost,10
p63,evmc_storage_10,bin4,2030,Cost,10
p63,evmc_storage_10,bin4,2035,Cost,10
p63,evmc_storage_10,bin4,2040,Cost,10
p63,evmc_storage_10,bin5,2010,Cost,10
p63,evmc_storage_10,bin5,2020,Cost,10
p63,evmc_storage_10,bin5,2025,Cost,10
p63,evmc_storage_10,bin5,2030,Cost,10
p63,evmc_storage_10,bin5,2035,Cost,10
p63,evmc_storage_10,bin5,2040,Cost,10
p63,evmc_storage_10,bin1,2010,Cap,10
p63,evmc_storage_10,bin1,2020,Cap,10
p63,evmc_storage_10,bin1,2025,Cap,10
p63,evmc_storage_10,bin1,2030,Cap,10
p63,evmc_storage_10,bin1,2035,Cap,10
p63,evmc_storage_10,bin1,2040,Cap,10
p63,evmc_storage_10,bin2,2010,Cap,10
p63,evmc_storage_10,bin2,2020,Cap,10
p63,evmc_storage_10,bin2,2025,Cap,10
p63,evmc_storage_10,bin2,2030,Cap,10
p63,evmc_storage_10,bin2,2035,Cap,10
p63,evmc_storage_10,bin2,2040,Cap,10
p63,evmc_storage_10,bin3,2010,Cap,10
p63,evmc_storage_10,bin3,2020,Cap,10
p63,evmc_storage_10,bin3,2025,Cap,10
p63,evmc_storage_10,bin3,2030,Cap,10
p63,evmc_storage_10,bin3,2035,Cap,10
p63,evmc_storage_10,bin3,2040,Cap,10
p63,evmc_storage_10,bin4,2010,Cap,10
p63,evmc_storage_10,bin4,2020,Cap,10
p63,evmc_storage_10,bin4,2025,Cap,10
p63,evmc_storage_10,bin4,2030,Cap,10
p63,evmc_storage_10,bin4,2035,Cap,10
p63,evmc_storage_10,bin4,2040,Cap,10
p63,evmc_storage_10,bin5,2010,Cap,10
p63,evmc_storage_10,bin5,2020,Cap,10
p63,evmc_storage_10,bin5,2025,Cap,10
p63,evmc_storage_10,bin5,2030,Cap,10
p63,evmc_storage_10,bin5,2035,Cap,10
p63,evmc_storage_10,bin5,2040,Cap,10
p63,evmc_storage_2,bin1,2010,Cost,10
p63,evmc_storage_2,bin1,2020,Cost,10
p63,evmc_storage_2,bin1,2025,Cost,10
p63,evmc_storage_2,bin1,2030,Cost,10
p63,evmc_storage_2,bin1,2035,Cost,10
p63,evmc_storage_2,bin1,2040,Cost,10
p63,evmc_storage_2,bin2,2010,Cost,10
p63,evmc_storage_2,bin2,2020,Cost,10
p63,evmc_storage_2,bin2,2025,Cost,10
p63,evmc_storage_2,bin2,2030,Cost,10
p63,evmc_storage_2,bin2,2035,Cost,10
p63,evmc_storage_2,bin2,2040,Cost,10
p63,evmc_storage_2,bin3,2010,Cost,10
p63,evmc_storage_2,bin3,2020,Cost,10
p63,evmc_storage_2,bin3,2025,Cost,10
p63,evmc_storage_2,bin3,2030,Cost,10
p63,evmc_storage_2,bin3,2035,Cost,10
p63,evmc_storage_2,bin3,2040,Cost,10
p63,evmc_storage_2,bin4,2010,Cost,10
p63,evmc_storage_2,bin4,2020,Cost,10
p63,evmc_storage_2,bin4,2025,Cost,10
p63,evmc_storage_2,bin4,2030,Cost,10
p63,evmc_storage_2,bin4,2035,Cost,10
p63,evmc_storage_2,bin4,2040,Cost,10
p63,evmc_storage_2,bin5,2010,Cost,10
p63,evmc_storage_2,bin5,2020,Cost,10
p63,evmc_storage_2,bin5,2025,Cost,10
p63,evmc_storage_2,bin5,2030,Cost,10
p63,evmc_storage_2,bin5,2035,Cost,10
p63,evmc_storage_2,bin5,2040,Cost,10
p63,evmc_storage_2,bin1,2010,Cap,10
p63,evmc_storage_2,bin1,2020,Cap,10
p63,evmc_storage_2,bin1,2025,Cap,10
p63,evmc_storage_2,bin1,2030,Cap,10
p63,evmc_storage_2,bin1,2035,Cap,10
p63,evmc_storage_2,bin1,2040,Cap,10
p63,evmc_storage_2,bin2,2010,Cap,10
p63,evmc_storage_2,bin2,2020,Cap,10
p63,evmc_storage_2,bin2,2025,Cap,10
p63,evmc_storage_2,bin2,2030,Cap,10
p63,evmc_storage_2,bin2,2035,Cap,10
p63,evmc_storage_2,bin2,2040,Cap,10
p63,evmc_storage_2,bin3,2010,Cap,10
p63,evmc_storage_2,bin3,2020,Cap,10
p63,evmc_storage_2,bin3,2025,Cap,10
p63,evmc_storage_2,bin3,2030,Cap,10
p63,evmc_storage_2,bin3,2035,Cap,10
p63,evmc_storage_2,bin3,2040,Cap,10
p63,evmc_storage_2,bin4,2010,Cap,10
p63,evmc_storage_2,bin4,2020,Cap,10
p63,evmc_storage_2,bin4,2025,Cap,10
p63,evmc_storage_2,bin4,2030,Cap,10
p63,evmc_storage_2,bin4,2035,Cap,10
p63,evmc_storage_2,bin4,2040,Cap,10
p63,evmc_storage_2,bin5,2010,Cap,10
p63,evmc_storage_2,bin5,2020,Cap,10
p63,evmc_storage_2,bin5,2025,Cap,10
p63,evmc_storage_2,bin5,2030,Cap,10
p63,evmc_storage_2,bin5,2035,Cap,10
p63,evmc_storage_2,bin5,2040,Cap,10
p63,evmc_storage_3,bin1,2010,Cost,10
p63,evmc_storage_3,bin1,2020,Cost,10
p63,evmc_storage_3,bin1,2025,Cost,10
p63,evmc_storage_3,bin1,2030,Cost,10
p63,evmc_storage_3,bin1,2035,Cost,10
p63,evmc_storage_3,bin1,2040,Cost,10
p63,evmc_storage_3,bin2,2010,Cost,10
p63,evmc_storage_3,bin2,2020,Cost,10
p63,evmc_storage_3,bin2,2025,Cost,10
p63,evmc_storage_3,bin2,2030,Cost,10
p63,evmc_storage_3,bin2,2035,Cost,10
p63,evmc_storage_3,bin2,2040,Cost,10
p63,evmc_storage_3,bin3,2010,Cost,10
p63,evmc_storage_3,bin3,2020,Cost,10
p63,evmc_storage_3,bin3,2025,Cost,10
p63,evmc_storage_3,bin3,2030,Cost,10
p63,evmc_storage_3,bin3,2035,Cost,10
p63,evmc_storage_3,bin3,2040,Cost,10
p63,evmc_storage_3,bin4,2010,Cost,10
p63,evmc_storage_3,bin4,2020,Cost,10
p63,evmc_storage_3,bin4,2025,Cost,10
p63,evmc_storage_3,bin4,2030,Cost,10
p63,evmc_storage_3,bin4,2035,Cost,10
p63,evmc_storage_3,bin4,2040,Cost,10
p63,evmc_storage_3,bin5,2010,Cost,10
p63,evmc_storage_3,bin5,2020,Cost,10
p63,evmc_storage_3,bin5,2025,Cost,10
p63,evmc_storage_3,bin5,2030,Cost,10
p63,evmc_storage_3,bin5,2035,Cost,10
p63,evmc_storage_3,bin5,2040,Cost,10
p63,evmc_storage_3,bin1,2010,Cap,10
p63,evmc_storage_3,bin1,2020,Cap,10
p63,evmc_storage_3,bin1,2025,Cap,10
p63,evmc_storage_3,bin1,2030,Cap,10
p63,evmc_storage_3,bin1,2035,Cap,10
p63,evmc_storage_3,bin1,2040,Cap,10
p63,evmc_storage_3,bin2,2010,Cap,10
p63,evmc_storage_3,bin2,2020,Cap,10
p63,evmc_storage_3,bin2,2025,Cap,10
p63,evmc_storage_3,bin2,2030,Cap,10
p63,evmc_storage_3,bin2,2035,Cap,10
p63,evmc_storage_3,bin2,2040,Cap,10
p63,evmc_storage_3,bin3,2010,Cap,10
p63,evmc_storage_3,bin3,2020,Cap,10
p63,evmc_storage_3,bin3,2025,Cap,10
p63,evmc_storage_3,bin3,2030,Cap,10
p63,evmc_storage_3,bin3,2035,Cap,10
p63,evmc_storage_3,bin3,2040,Cap,10
p63,evmc_storage_3,bin4,2010,Cap,10
p63,evmc_storage_3,bin4,2020,Cap,10
p63,evmc_storage_3,bin4,2025,Cap,10
p63,evmc_storage_3,bin4,2030,Cap,10
p63,evmc_storage_3,bin4,2035,Cap,10
p63,evmc_storage_3,bin4,2040,Cap,10
p63,evmc_storage_3,bin5,2010,Cap,10
p63,evmc_storage_3,bin5,2020,Cap,10
p63,evmc_storage_3,bin5,2025,Cap,10
p63,evmc_storage_3,bin5,2030,Cap,10
p63,evmc_storage_3,bin5,2035,Cap,10
p63,evmc_storage_3,bin5,2040,Cap,10
p63,evmc_storage_4,bin1,2010,Cost,10
p63,evmc_storage_4,bin1,2020,Cost,10
p63,evmc_storage_4,bin1,2025,Cost,10
p63,evmc_storage_4,bin1,2030,Cost,10
p63,evmc_storage_4,bin1,2035,Cost,10
p63,evmc_storage_4,bin1,2040,Cost,10
p63,evmc_storage_4,bin2,2010,Cost,10
p63,evmc_storage_4,bin2,2020,Cost,10
p63,evmc_storage_4,bin2,2025,Cost,10
p63,evmc_storage_4,bin2,2030,Cost,10
p63,evmc_storage_4,bin2,2035,Cost,10
p63,evmc_storage_4,bin2,2040,Cost,10
p63,evmc_storage_4,bin3,2010,Cost,10
p63,evmc_storage_4,bin3,2020,Cost,10
p63,evmc_storage_4,bin3,2025,Cost,10
p63,evmc_storage_4,bin3,2030,Cost,10
p63,evmc_storage_4,bin3,2035,Cost,10
p63,evmc_storage_4,bin3,2040,Cost,10
p63,evmc_storage_4,bin4,2010,Cost,10
p63,evmc_storage_4,bin4,2020,Cost,10
p63,evmc_storage_4,bin4,2025,Cost,10
p63,evmc_storage_4,bin4,2030,Cost,10
p63,evmc_storage_4,bin4,2035,Cost,10
p63,evmc_storage_4,bin4,2040,Cost,10
p63,evmc_storage_4,bin5,2010,Cost,10
p63,evmc_storage_4,bin5,2020,Cost,10
p63,evmc_storage_4,bin5,2025,Cost,10
p63,evmc_storage_4,bin5,2030,Cost,10
p63,evmc_storage_4,bin5,2035,Cost,10
p63,evmc_storage_4,bin5,2040,Cost,10
p63,evmc_storage_4,bin1,2010,Cap,10
p63,evmc_storage_4,bin1,2020,Cap,10
p63,evmc_storage_4,bin1,2025,Cap,10
p63,evmc_storage_4,bin1,2030,Cap,10
p63,evmc_storage_4,bin1,2035,Cap,10
p63,evmc_storage_4,bin1,2040,Cap,10
p63,evmc_storage_4,bin2,2010,Cap,10
p63,evmc_storage_4,bin2,2020,Cap,10
p63,evmc_storage_4,bin2,2025,Cap,10
p63,evmc_storage_4,bin2,2030,Cap,10
p63,evmc_storage_4,bin2,2035,Cap,10
p63,evmc_storage_4,bin2,2040,Cap,10
p63,evmc_storage_4,bin3,2010,Cap,10
p63,evmc_storage_4,bin3,2020,Cap,10
p63,evmc_storage_4,bin3,2025,Cap,10
p63,evmc_storage_4,bin3,2030,Cap,10
p63,evmc_storage_4,bin3,2035,Cap,10
p63,evmc_storage_4,bin3,2040,Cap,10
p63,evmc_storage_4,bin4,2010,Cap,10
p63,evmc_storage_4,bin4,2020,Cap,10
p63,evmc_storage_4,bin4,2025,Cap,10
p63,evmc_storage_4,bin4,2030,Cap,10
p63,evmc_storage_4,bin4,2035,Cap,10
p63,evmc_storage_4,bin4,2040,Cap,10
p63,evmc_storage_4,bin5,2010,Cap,10
p63,evmc_storage_4,bin5,2020,Cap,10
p63,evmc_storage_4,bin5,2025,Cap,10
p63,evmc_storage_4,bin5,2030,Cap,10
p63,evmc_storage_4,bin5,2035,Cap,10
p63,evmc_storage_4,bin5,2040,Cap,10
p63,evmc_storage_5,bin1,2010,Cost,10
p63,evmc_storage_5,bin1,2020,Cost,10
p63,evmc_storage_5,bin1,2025,Cost,10
p63,evmc_storage_5,bin1,2030,Cost,10
p63,evmc_storage_5,bin1,2035,Cost,10
p63,evmc_storage_5,bin1,2040,Cost,10
p63,evmc_storage_5,bin2,2010,Cost,10
p63,evmc_storage_5,bin2,2020,Cost,10
p63,evmc_storage_5,bin2,2025,Cost,10
p63,evmc_storage_5,bin2,2030,Cost,10
p63,evmc_storage_5,bin2,2035,Cost,10
p63,evmc_storage_5,bin2,2040,Cost,10
p63,evmc_storage_5,bin3,2010,Cost,10
p63,evmc_storage_5,bin3,2020,Cost,10
p63,evmc_storage_5,bin3,2025,Cost,10
p63,evmc_storage_5,bin3,2030,Cost,10
p63,evmc_storage_5,bin3,2035,Cost,10
p63,evmc_storage_5,bin3,2040,Cost,10
p63,evmc_storage_5,bin4,2010,Cost,10
p63,evmc_storage_5,bin4,2020,Cost,10
p63,evmc_storage_5,bin4,2025,Cost,10
p63,evmc_storage_5,bin4,2030,Cost,10
p63,evmc_storage_5,bin4,2035,Cost,10
p63,evmc_storage_5,bin4,2040,Cost,10
p63,evmc_storage_5,bin5,2010,Cost,10
p63,evmc_storage_5,bin5,2020,Cost,10
p63,evmc_storage_5,bin5,2025,Cost,10
p63,evmc_storage_5,bin5,2030,Cost,10
p63,evmc_storage_5,bin5,2035,Cost,10
p63,evmc_storage_5,bin5,2040,Cost,10
p63,evmc_storage_5,bin1,2010,Cap,10
p63,evmc_storage_5,bin1,2020,Cap,10
p63,evmc_storage_5,bin1,2025,Cap,10
p63,evmc_storage_5,bin1,2030,Cap,10
p63,evmc_storage_5,bin1,2035,Cap,10
p63,evmc_storage_5,bin1,2040,Cap,10
p63,evmc_storage_5,bin2,2010,Cap,10
p63,evmc_storage_5,bin2,2020,Cap,10
p63,evmc_storage_5,bin2,2025,Cap,10
p63,evmc_storage_5,bin2,2030,Cap,10
p63,evmc_storage_5,bin2,2035,Cap,10
p63,evmc_storage_5,bin2,2040,Cap,10
p63,evmc_storage_5,bin3,2010,Cap,10
p63,evmc_storage_5,bin3,2020,Cap,10
p63,evmc_storage_5,bin3,2025,Cap,10
p63,evmc_storage_5,bin3,2030,Cap,10
p63,evmc_storage_5,bin3,2035,Cap,10
p63,evmc_storage_5,bin3,2040,Cap,10
p63,evmc_storage_5,bin4,2010,Cap,10
p63,evmc_storage_5,bin4,2020,Cap,10
p63,evmc_storage_5,bin4,2025,Cap,10
p63,evmc_storage_5,bin4,2030,Cap,10
p63,evmc_storage_5,bin4,2035,Cap,10
p63,evmc_storage_5,bin4,2040,Cap,10
p63,evmc_storage_5,bin5,2010,Cap,10
p63,evmc_storage_5,bin5,2020,Cap,10
p63,evmc_storage_5,bin5,2025,Cap,10
p63,evmc_storage_5,bin5,2030,Cap,10
p63,evmc_storage_5,bin5,2035,Cap,10
p63,evmc_storage_5,bin5,2040,Cap,10
p63,evmc_storage_6,bin1,2010,Cost,10
p63,evmc_storage_6,bin1,2020,Cost,10
p63,evmc_storage_6,bin1,2025,Cost,10
p63,evmc_storage_6,bin1,2030,Cost,10
p63,evmc_storage_6,bin1,2035,Cost,10
p63,evmc_storage_6,bin1,2040,Cost,10
p63,evmc_storage_6,bin2,2010,Cost,10
p63,evmc_storage_6,bin2,2020,Cost,10
p63,evmc_storage_6,bin2,2025,Cost,10
p63,evmc_storage_6,bin2,2030,Cost,10
p63,evmc_storage_6,bin2,2035,Cost,10
p63,evmc_storage_6,bin2,2040,Cost,10
p63,evmc_storage_6,bin3,2010,Cost,10
p63,evmc_storage_6,bin3,2020,Cost,10
p63,evmc_storage_6,bin3,2025,Cost,10
p63,evmc_storage_6,bin3,2030,Cost,10
p63,evmc_storage_6,bin3,2035,Cost,10
p63,evmc_storage_6,bin3,2040,Cost,10
p63,evmc_storage_6,bin4,2010,Cost,10
p63,evmc_storage_6,bin4,2020,Cost,10
p63,evmc_storage_6,bin4,2025,Cost,10
p63,evmc_storage_6,bin4,2030,Cost,10
p63,evmc_storage_6,bin4,2035,Cost,10
p63,evmc_storage_6,bin4,2040,Cost,10
p63,evmc_storage_6,bin5,2010,Cost,10
p63,evmc_storage_6,bin5,2020,Cost,10
p63,evmc_storage_6,bin5,2025,Cost,10
p63,evmc_storage_6,bin5,2030,Cost,10
p63,evmc_storage_6,bin5,2035,Cost,10
p63,evmc_storage_6,bin5,2040,Cost,10
p63,evmc_storage_6,bin1,2010,Cap,10
p63,evmc_storage_6,bin1,2020,Cap,10
p63,evmc_storage_6,bin1,2025,Cap,10
p63,evmc_storage_6,bin1,2030,Cap,10
p63,evmc_storage_6,bin1,2035,Cap,10
p63,evmc_storage_6,bin1,2040,Cap,10
p63,evmc_storage_6,bin2,2010,Cap,10
p63,evmc_storage_6,bin2,2020,Cap,10
p63,evmc_storage_6,bin2,2025,Cap,10
p63,evmc_storage_6,bin2,2030,Cap,10
p63,evmc_storage_6,bin2,2035,Cap,10
p63,evmc_storage_6,bin2,2040,Cap,10
p63,evmc_storage_6,bin3,2010,Cap,10
p63,evmc_storage_6,bin3,2020,Cap,10
p63,evmc_storage_6,bin3,2025,Cap,10
p63,evmc_storage_6,bin3,2030,Cap,10
p63,evmc_storage_6,bin3,2035,Cap,10
p63,evmc_storage_6,bin3,2040,Cap,10
p63,evmc_storage_6,bin4,2010,Cap,10
p63,evmc_storage_6,bin4,2020,Cap,10
p63,evmc_storage_6,bin4,2025,Cap,10
p63,evmc_storage_6,bin4,2030,Cap,10
p63,evmc_storage_6,bin4,2035,Cap,10
p63,evmc_storage_6,bin4,2040,Cap,10
p63,evmc_storage_6,bin5,2010,Cap,10
p63,evmc_storage_6,bin5,2020,Cap,10
p63,evmc_storage_6,bin5,2025,Cap,10
p63,evmc_storage_6,bin5,2030,Cap,10
p63,evmc_storage_6,bin5,2035,Cap,10
p63,evmc_storage_6,bin5,2040,Cap,10
p63,evmc_storage_7,bin1,2010,Cost,10
p63,evmc_storage_7,bin1,2020,Cost,10
p63,evmc_storage_7,bin1,2025,Cost,10
p63,evmc_storage_7,bin1,2030,Cost,10
p63,evmc_storage_7,bin1,2035,Cost,10
p63,evmc_storage_7,bin1,2040,Cost,10
p63,evmc_storage_7,bin2,2010,Cost,10
p63,evmc_storage_7,bin2,2020,Cost,10
p63,evmc_storage_7,bin2,2025,Cost,10
p63,evmc_storage_7,bin2,2030,Cost,10
p63,evmc_storage_7,bin2,2035,Cost,10
p63,evmc_storage_7,bin2,2040,Cost,10
p63,evmc_storage_7,bin3,2010,Cost,10
p63,evmc_storage_7,bin3,2020,Cost,10
p63,evmc_storage_7,bin3,2025,Cost,10
